graph,type,path,n,arcs,edges,directed,step,name,formula,bits,bits per edge,redundancy,saved vs previous (%),saved vs (0) (%),saved vs (2) (%),H part,stored arcs,tree edges,components
celegansneural,directed,Datasets/TestSet/Directed/celegansneural.txt,297,2345,2345,True,3w,TREX - worst MST-based tree,"H(G-T) + lg C(n+m', n) + 3n",17963.817223901624,7.660476428103037,o(m) + o(n),-6.096840826693417,27.18060227856166,5.094731535356411,15792.462527143814,2049.0,296.0,"[[""H(G-T) - entropy of what is left"", 15792.462527143814, ""2049 residual arcs""], [""lg C(n+m', n) - separator bitvector of A'"", 1280.35469675781, """"], [""3n - LOUDS, plus n for D"", 891, ""3 x 297""]]"
celegansneural,directed,Datasets/TestSet/Directed/celegansneural.txt,297,2345,2345,True,4,"Twin removal, then TREX","H(G0-T0) + lg C(n0+m0', n0) + 3n0 + lg C(N, n0)",16928.876232332568,7.219136986069325,o(m) + o(n) + o(N),0.0156667923121744,31.37591214750266,,14760.1741630365,2049.0,284.0,"[[""H(G0-T0) - entropy after contraction"", 14760.1741630365, ""2049 residual arcs, n0 = 285""], [""lg C(n0+m0', n0)"", 1244.2905137610048, """"], [""3n0 - LOUDS and D"", 855, ""3 x 285""], [""lg C(N, n0) - the class sizes in B"", 69.41155553506236, ""12 twins removed""]]"
p2p-Gnutella24,directed,Datasets/TestSet/Directed/p2p-Gnutella24.txt,26518,65369,65369,True,0,Adjacency lists,m*ceil(lg n) + n*ceil(lg m),1404823.0,21.49066071073445,,,0.0,,0.0,65369.0,0.0,"[[""m*ceil(lg n) - one id per stored arc"", 980535, ""65369 x 15""], [""n*ceil(lg m) - one offset per vertex"", 424288, ""26518 x 16""]]"
p2p-Gnutella24,directed,Datasets/TestSet/Directed/p2p-Gnutella24.txt,26518,65369,65369,True,1,One string + separator bitvector,"m*ceil(lg n) + lg C(n+m, n)",1060183.1894090446,16.218439771283705,o(m),24.532614471072545,24.532614471072545,,0.0,65369.0,0.0,"[[""m*ceil(lg n) - the adjacency string, uncompressed"", 980535, ""65369 x 15""], [""lg C(n+m, n) - the separator bitvector"", 79648.18940904447, ""C(91887, 26518)""]]"
p2p-Gnutella24,directed,Datasets/TestSet/Directed/p2p-Gnutella24.txt,26518,65369,65369,True,2,Entropy-compressed adjacency string,"H(G) + lg C(n+m, n)",1006746.407788428,15.400976116942708,o(m),5.040334741621666,28.33642332248063,,927098.2183793834,65369.0,0.0,"[[""H(G) - in-degree entropy of the string"", 927098.2183793834, ""sum d lg(m/d) over 65369 arcs""], [""lg C(n+m, n) - the separator bitvector"", 79648.18940904447, """"]]"
p2p-Gnutella24,directed,Datasets/TestSet/Directed/p2p-Gnutella24.txt,26518,65369,65369,True,3b,TREX - best MST-based tree,"H(G-T) + lg C(n+m', n) + 3n",644527.6198298923,9.85983600529138,o(m) + o(n),35.97914878626093,54.120368200841504,,501293.2202742994,38862.0,26507.0,"[[""H(G-T) - entropy of what is left"", 501293.22027429944, ""38862 residual arcs""], [""lg C(n+m', n) - separator bitvector of A'"", 63680.399555592856, """"], [""3n - LOUDS, plus n for D"", 79554, ""3 x 26518""]]"
p2p-Gnutella24,directed,Datasets/TestSet/Directed/p2p-Gnutella24.txt,26518,65369,65369,True,3w,TREX - worst MST-based tree,"H(G-T) + lg C(n+m', n) + 3n",671409.3404981799,10.271066415245452,o(m) + o(n),-4.170763182403636,52.206837409539865,33.30899069477689,528174.940942587,38862.0,26507.0,"[[""H(G-T) - entropy of what is left"", 528174.940942587, ""38862 residual arcs""], [""lg C(n+m', n) - separator bitvector of A'"", 63680.399555592856, """"], [""3n - LOUDS, plus n for D"", 79554, ""3 x 26518""]]"
p2p-Gnutella24,directed,Datasets/TestSet/Directed/p2p-Gnutella24.txt,26518,65369,65369,True,4,"Twin removal, then TREX","H(G0-T0) + lg C(n0+m0', n0) + 3n0 + lg C(N, n0)",638240.5660930937,9.763658096239713,o(m) + o(n) + o(N),0.9754514071030672,54.5679017148001,,500609.01201722975,38821.0,20667.0,"[[""H(G0-T0) - entropy after contraction"", 500609.01201722975, ""38821 residual arcs, n0 = 20678""], [""lg C(n0+m0', n0)"", 55435.811360156404, """"], [""3n0 - LOUDS and D"", 62034, ""3 x 20678""], [""lg C(N, n0) - the class sizes in B"", 20161.74271570755, ""5840 twins removed""]]"
bio-grid-yeast,undirected,Datasets/Undirected/bio-grid-yeast.txt,6008,313890,156945,False,0,Adjacency lists,m*ceil(lg n) + n*ceil(lg m),4194722.0,26.72733760234477,,,0.0,,0.0,313890.0,0.0,"[[""m*ceil(lg n) - one id per stored arc"", 4080570, ""313890 x 13""], [""n*ceil(lg m) - one offset per vertex"", 114152, ""6008 x 19""]]"
bio-grid-yeast,undirected,Datasets/Undirected/bio-grid-yeast.txt,6008,313890,156945,False,1,One string + separator bitvector,"m*ceil(lg n) + lg C(n+m, n)",4123601.591662124,26.274182622333456,o(m),1.6954737009479026,1.6954737009479026,,0.0,313890.0,0.0,"[[""m*ceil(lg n) - the adjacency string, uncompressed"", 4080570, ""313890 x 13""], [""lg C(n+m, n) - the separator bitvector"", 43031.591662124185, ""C(319898, 6008)""]]"
bio-grid-yeast,undirected,Datasets/Undirected/bio-grid-yeast.txt,6008,313890,156945,False,1u,Wavelet tree: each edge stored once,"m'*ceil(lg n) + lg C(n+m', n),  m' = |E|",2077390.0039586509,13.236420427274847,o(m),49.62195164151867,50.47609820248753,,0.0,156945.0,0.0,"[[""m'*ceil(lg n) - each edge stored once"", 2040285, ""156945 x 13""], [""lg C(n+m', n)"", 37105.0039586509, ""C(162953, 6008)""]]"
bio-grid-yeast,undirected,Datasets/Undirected/bio-grid-yeast.txt,6008,313890,156945,False,2,Entropy-compressed adjacency string,"H(G) + lg C(n+m, n)",1671343.02890064,10.649227620508077,o(m),19.546015639059235,60.15604779290166,,1634238.024941989,156945.0,0.0,"[[""H(G) - in-degree entropy of the string"", 1634238.024941989, ""sum d lg(m/d) over 156945 arcs""], [""lg C(n+m, n) - the separator bitvector"", 37105.0039586509, """"]]"
bio-grid-yeast,undirected,Datasets/Undirected/bio-grid-yeast.txt,6008,313890,156945,False,3b,TREX - best MST-based tree,"H(G-T) + lg C(n+m', n) + 2n",1598684.0531667783,10.186269413914292,o(m) + o(n),4.347340700110747,61.88820014373352,,1549894.8809638484,150938.0,6007.0,"[[""H(G-T) - entropy of what is left"", 1549894.8809638484, ""150938 residual arcs""], [""lg C(n+m', n) - separator bitvector of A'"", 36773.17220293003, """"], [""2n - LOUDS"", 12016, ""2 x 6008""]]"
